id,user,id,followers_count,indegree,outdegree,Degree,eigencentrality,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity,color
97,@maurineifernand,97,53,0,3,3,0,0,0,4,4,3,0.458333,0.560606,0,0.000446,0 - 4,#FF75FF
98,@washingtonlife,98,25071,1,2,3,0.001635,0,1,8,9,3,0.434783,0.516667,0,0.000573,0 - 4,#FF75FF
99,@hbsclubdc,99,,2,0,2,0.003592,0,5,0,5,0,0,0,0,0.000817,0 - 4,#FF75FF
100,@mariannevantag2,100,766,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
101,@salima_sn,101,1881,0,4,4,0,0,0,4,4,3,0.480769,0.54,0,0.000446,0 - 4,#FF75FF
102,@vcoyne,102,1024,0,3,3,0,0,0,3,3,3,0.458333,0.560606,0,0.000446,0 - 4,#FF75FF
103,@aramirezant,103,9,0,2,2,0,3,0,2,2,3,0.405797,0.446429,0,0.000446,0 - 4,#FF75FF
104,@capitannacho1,104,1850,0,2,2,0,0,0,2,2,4,0.392857,0.477273,0,0.000446,0 - 4,#FF75FF
105,@rfangulo,105,234,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
106,@quiara2016,106,73,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
107,@vccircle,107,43664,0,2,2,0,0,0,2,2,3,0.434783,0.516667,0,0.000446,0 - 4,#FF75FF
108,@cmautomation,108,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000636,0 - 4,#FF75FF
109,@meriemgray,109,112,0,1,1,0,31,0,2,2,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
110,@leocede2,110,1632,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
111,@halconesfin,111,250,2,14,16,0.005592,3,2,104,106,3,0.5625,0.709877,54,0.000688,0 - 4,#FF75FF
112,@ubuntuconvos,112,434,0,4,4,0,0,0,4,4,3,0.480769,0.54,0,0.000446,0 - 4,#FF75FF
113,@chikeziea1,113,284,0,4,4,0,0,0,4,4,3,0.480769,0.54,0,0.000446,0 - 4,#FF75FF
114,@investabank,114,,2,0,2,0.004982,3,5,0,5,0,0,0,0,0.000616,0 - 4,#FF75FF
115,@bancodesarrollo,115,,1,0,1,0.002491,3,4,0,4,0,0,0,0,0.000488,0 - 4,#FF75FF
116,@bcoestado_aldia,116,,1,0,1,0.002491,3,4,0,4,0,0,0,0,0.000488,0 - 4,#FF75FF
117,@el_bid,117,,1,0,1,0.002491,3,4,0,4,0,0,0,0,0.000488,0 - 4,#FF75FF
118,@fira_mexico,118,,1,0,1,0.002491,3,4,0,4,0,0,0,0,0.000488,0 - 4,#FF75FF
119,@asocbancosmx,119,,1,0,1,0.002491,3,4,0,4,0,0,0,0,0.000488,0 - 4,#FF75FF
120,@ifc_eap,120,2563,1,2,3,0.001635,0,1,8,9,3,0.434783,0.516667,1,0.000636,0 - 4,#FF75FF
121,@dfat,121,,1,0,1,0.001957,0,4,0,4,0,0,0,0,0.000717,0 - 4,#FF75FF
122,@moisesamilkar,122,1015,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
123,@ifc_southasia,123,2854,2,5,7,0.003657,0,2,22,24,3,0.6,0.694444,10,0.000823,0 - 4,#FF75FF
124,@m_alemayehu,124,205,1,2,3,0.002314,0,5,2,7,3,0.444444,0.513889,0,0.000586,0 - 4,#FF75FF
125,@shyamalmajumdar,125,,1,0,1,0.002314,0,5,0,5,0,0,0,0,0.000586,0 - 4,#FF75FF
126,@bsindia,126,,1,0,1,0.002314,0,5,0,5,0,0,0,0,0.000586,0 - 4,#FF75FF
127,@alienbtc,127,6409,0,2,2,0,4,0,2,2,1,1,1,0,0.000446,0 - 4,#FF75FF
128,@invoxfinance,128,,1,0,1,0.001635,4,1,0,1,0,0,0,0,0.000636,0 - 4,#FF75FF
129,@datacloudasia,129,1164,1,0,1,0.001635,4,1,0,1,0,0,0,0,0.000636,0 - 4,#FF75FF
130,@houseofshamuel,130,1300,0,2,2,0,31,0,2,2,3,0.529412,0.592593,0,0.000446,Greater than 30,#FF7575
131,@infodili,131,1389,0,3,3,0,0,0,3,3,3,0.458333,0.560606,0,0.000446,0 - 4,#FF75FF
132,@kompascom,132,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000573,0 - 4,#FF75FF
133,@bankmandiri,133,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000573,0 - 4,#FF75FF
134,@drgregoryjames,134,409,0,2,2,0,0,0,2,2,3,0.434783,0.516667,0,0.000446,0 - 4,#FF75FF
135,@fredahiabor,135,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000636,0 - 4,#FF75FF
136,@matyht2005,136,201,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
137,@carlosa99405340,137,70,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
138,@vickykane55,138,180,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
139,@tancb29,139,315,0,3,3,0,0,0,4,4,3,0.470588,0.541667,0,0.000446,0 - 4,#FF75FF
140,@jingdonghua,140,279,1,3,4,0.001635,0,1,6,7,3,0.458333,0.560606,2,0.000573,0 - 4,#FF75FF
141,@gs10kwomen,141,,1,0,1,0.001957,0,2,0,2,0,0,0,0,0.000609,0 - 4,#FF75FF
142,@cck_keenan,142,,1,0,1,0.001957,0,2,0,2,0,0,0,0,0.000609,0 - 4,#FF75FF
143,@daveswords,143,1371,2,5,7,0.009789,31,11,5,16,3,0.492754,0.544118,190.75,0.00066,Greater than 30,#FF7575
144,@feisalhussain,144,195,0,4,4,0,0,0,4,4,3,0.48,0.597222,0,0.000446,0 - 4,#FF75FF
145,@the_lhoft,145,2957,2,3,5,0.003271,0,2,24,26,3,0.458333,0.560606,0,0.000636,0 - 4,#FF75FF
146,@crediteasecorp,146,,3,0,3,0.005549,0,10,0,10,0,0,0,0,0.000817,0 - 4,#FF75FF
147,@stanfordgsb,147,,3,0,3,0.005549,0,10,0,10,0,0,0,0,0.000817,0 - 4,#FF75FF
148,@indianvca,148,1223,0,1,1,0,0,0,1,1,3,0.409091,0.462963,0,0.000446,0 - 4,#FF75FF
149,@sandeep32806231,149,675,0,2,2,0,31,0,2,2,3,0.529412,0.592593,0,0.000446,Greater than 30,#FF7575
150,@felippehomero,150,328,0,2,2,0,0,0,2,2,3,0.44,0.515152,0,0.000446,0 - 4,#FF75FF
151,@thenergynet,151,23457,7,16,23,0.011991,5,7,138,145,3,0.727273,0.826389,144,0.00257, 5 - 9,FALSE
152,@seforallorg,152,,1,0,1,0.003933,5,14,0,14,0,0,0,0,0.000583, 5 - 9,FALSE
153,@wbg_energy,153,54802,4,2,6,0.009382,5,17,2,19,3,0.526316,0.583333,18,0.001183, 5 - 9,FALSE
154,@un,154,,4,0,4,0.010769,5,12,0,12,0,0,0,0,0.001666, 5 - 9,FALSE
155,@wef,155,,3,0,3,0.007558,5,11,0,11,0,0,0,0,0.000644, 5 - 9,FALSE
156,@wrienergy,156,,2,0,2,0.005568,5,7,0,7,0,0,0,0,0.00071, 5 - 9,FALSE
157,@viralaboutgreen,157,2055,0,1,1,0,5,0,1,1,4,0.431034,0.463333,0,0.000446, 5 - 9,FALSE
158,@msb_blue,158,426,0,1,1,0,5,0,1,1,4,0.431034,0.463333,0,0.000446, 5 - 9,FALSE
159,@esivla86,159,108,0,4,4,0,0,0,4,4,3,0.48,0.597222,0,0.000446,0 - 4,#FF75FF
160,@kirillklip,160,4738,0,1,1,0,5,0,1,1,4,0.431034,0.463333,0,0.000446, 5 - 9,FALSE
161,@stevecook58,161,273,0,1,1,0,5,0,1,1,4,0.431034,0.463333,0,0.000446, 5 - 9,FALSE
162,@anna_marriott,162,616,0,4,4,0,0,0,4,4,3,0.480769,0.54,0,0.000446,0 - 4,#FF75FF
163,@possotv,163,679,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
164,@franciscoarias7,164,393,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
165,@2amigosma,165,4725,0,2,2,0,0,0,2,2,3,0.44,0.515152,0,0.000446,0 - 4,#FF75FF
166,@energialpgc,166,234,0,1,1,0,5,0,1,1,4,0.431034,0.463333,0,0.000446, 5 - 9,FALSE
167,@rosss02250903,167,1711,0,1,1,0,0,0,1,1,4,0.37931,0.431818,0,0.000446,0 - 4,#FF75FF
168,@frederickshine,168,26,0,4,4,0,31,0,4,4,2,0.642857,0.722222,0,0.000446,Greater than 30,#FF7575
169,@tok_sili,169,41,0,1,1,0,0,0,1,1,3,0.409091,0.462963,0,0.000446,0 - 4,#FF75FF
170,@bridgeintlacads,170,5532,4,2,6,0.017371,31,17,2,19,3,0.529412,0.592593,0.666667,0.000809,Greater than 30,#FF7575
171,@giescr,171,,4,0,4,0.017165,0,14,0,14,0,0,0,0,0.00073,0 - 4,#FF75FF
172,@results_tweets,172,,4,0,4,0.017165,0,14,0,14,0,0,0,0,0.00073,0 - 4,#FF75FF
173,@sfrenchgiescr,173,,3,0,3,0.01553,0,13,0,13,0,0,0,0,0.000687,0 - 4,#FF75FF
174,@amb_a_mohammed,174,,2,0,2,0.013573,0,12,0,12,0,0,0,0,0.000641,0 - 4,#FF75FF
175,@hakijamiitrust,175,3071,1,11,12,0.0108,0,11,20,31,4,0.510638,0.649306,0,0.000595,0 - 4,#FF75FF
176,@tikenya,176,,2,0,2,0.013573,0,12,0,12,0,0,0,0,0.000641,0 - 4,#FF75FF
177,@thekhrc,177,,2,0,2,0.013573,0,12,0,12,0,0,0,0,0.000641,0 - 4,#FF75FF
178,@hakiknchr,178,,2,0,2,0.013573,0,12,0,12,0,0,0,0,0.000641,0 - 4,#FF75FF
179,@aphrc,179,,1,0,1,0.0108,0,11,0,11,0,0,0,0,0.000595,0 - 4,#FF75FF
180,@prkstntr,180,132,0,3,3,0,0,0,3,3,3,0.55,0.621212,0,0.000446,0 - 4,#FF75FF
181,@maggieliviah,181,225,0,3,3,0,0,0,3,3,3,0.471698,0.52,0,0.000446,0 - 4,#FF75FF
182,@ede_wbg,182,1797,2,3,5,0.003271,31,2,9,11,3,0.55,0.621212,4,0.000827,Greater than 30,#FF7575
183,@mmazumdar2014,183,907,0,4,4,0,11,0,12,12,3,0.571429,0.652778,0,0.000446,10 - 14,#75FFF7
184,@cnnnews18,184,3932179,50,3,53,0.084339,11,80,228,308,3,0.55,0.621212,134,0.006574,10 - 14,#75FFF7
185,@narendramodi,185,,40,0,40,0.082391,11,124,0,124,0,0,0,0,0.00672,10 - 14,#75FFF7
186,@bhupendrachaube,186,,25,0,25,0.059792,11,120,0,120,0,0,0,0,0.005255,10 - 14,#75FFF7
187,@nashatccc36,187,25,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
188,@asthanavineeta,188,599,0,2,2,0,11,0,2,2,4,0.387097,0.465278,0,0.000446,10 - 14,#75FFF7
189,@alcidespaezsoto,189,2319,0,2,2,0,0,0,2,2,4,0.392857,0.477273,0,0.000446,0 - 4,#FF75FF
190,@chibuezeijeoma,190,10,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
191,@stefanomanservi,191,3753,2,2,4,0.003271,12,2,14,16,3,0.526316,0.583333,0,0.0007,10 - 14,#75FFF7
192,@imfnews,192,,21,0,21,0.044607,12,69,0,69,0,0,0,0,0.003717,10 - 14,#75FFF7
193,@ajaysk311,193,12,0,3,3,0,11,0,3,3,3,0.545455,0.611111,0,0.000446,10 - 14,#75FFF7
194,@intlfinancemag,194,452,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
195,@wbg_gov,195,27487,1,1,2,0.001635,31,2,4,6,3,0.5,0.537037,0,0.000636,Greater than 30,#FF7575
196,@joniuwf,196,160,0,2,2,0,0,0,2,2,4,0.371429,0.413462,0,0.000446,0 - 4,#FF75FF
197,@james_tooley,197,,1,0,1,0.001635,0,1,0,1,0,0,0,0,0.000636,0 - 4,#FF75FF
198,@9999ahmadshanu,198,183,1,5,6,0.001635,11,1,35,36,3,0.590909,0.679487,0,0.000509,10 - 14,#75FFF7
199,@shivpalsyadav,199,,2,0,2,0.003592,11,8,0,8,0,0,0,0,0.000596,10 - 14,#75FFF7
200,@eduint,200,12314,12,11,23,0.026662,31,65,71,136,4,0.472222,0.590686,216.833333,0.001459,Greater than 30,#FF7575
201,@wbg_education,201,51756,2,2,4,0.007784,31,16,4,20,3,0.526316,0.583333,1,0.000749,Greater than 30,#FF7575
202,@jaimesaavedra22,202,,2,0,2,0.008844,31,11,0,11,0,0,0,0,0.000879,Greater than 30,#FF7575
203,@hari44114758,203,0,0,1,1,0,31,0,3,3,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
204,@uclg_saiz,204,3955,0,3,3,0,12,0,3,3,3,0.55,0.621212,0,0.000446,10 - 14,#75FFF7
205,@timmyhotshot,205,28,0,1,1,0,31,0,1,1,3,0.5,0.537037,0,0.000446,Greater than 30,#FF7575
206,@shlokjbabu,206,182,1,3,4,0.001635,6,1,16,17,3,0.55,0.621212,0,0.000541, 5 - 9,FALSE
207,@httweets,207,6412553,2,0,2,0.003592,6,11,0,11,0,0,0,0,0.000695, 5 - 9,FALSE
