Interest in being stationed in the US,Proficient in physical training exercises,Able to appropriately utilize survival skills learned in SERE,Proficiency in multiple languages,Experience leading missions,Experience leading night missions,Academic performance,Ability to exercise medical training in the field
78,79,69,79,88,84,73,87
57,66,62,57,66,65,34,50
72,64,80,39,29,68,33,71
100,67,42,72,90,99,66,53
74,61,38,31,32,39,31,11
50,50,50,50,50,50,50,50
92,0,100,53,100,100,20,100
98,100,100,92,98,100,66,84
87,97,100,99,100,92,89,92
79,68,38,61,95,90,97,98
79,74,86,85,79,77,82,77
100,68,87,84,95,97,67,93
14,61,27,69,64,64,26,27
84,25,73,36,100,100,46,80
99,98,100,100,100,95,56,59
95,92,93,95,96,97,97,96
96,19,93,21,100,100,12,91
75,78,63,78,64,72,68,60
96,65,100,61,60,39,31,70
96,33,70,33,72,81,50,71
66,93,56,50,49,49,50,50
66,57,58,52,61,69,1,65
74,,,,79,76,81,76
38,38,77,77,51,55,42,53
30,87,87,100,91,98,100,98
73,67,76,81,80,71,71,71
50,27,51,50,50,62,29,51
59,62,61,72,80,42,62,72
73,72,83,40,68,70,37,68
34,22,68,14,80,83,21,85
63,20,65,32,100,68,34,92
65,65,81,90,96,98,65,74
66,69,36,44,78,75,78,79
71,70,72,73,33,72,72,72
100,100,100,100,100,100,100,100
82,73,80,100,96,84,77,77
100,100,100,100,100,100,100,100
10,86,79,96,76,79,78,13
74,70,54,29,65,68,29,29
93,89,98,72,98,100,0,59
70,64,80,64,80,16,12,71
50,77,89,50,50,76,51,87
64,62,71,65,68,62,65,67
50,49,49,50,57,50,50,52
53,56,58,59,63,58,63,60
93,26,99,46,100,99,1,98
73,31,65,66,34,77,78,29
89,52,100,50,73,100,40,88
75,59,44,59,56,59,43,54
91,75,97,93,97,90,9,96
91,100,100,100,100,100,100,100
100,86,89,95,73,92,100,88
83,68,69,71,93,88,14,85
67,76,66,69,78,78,71,84
75,66,72,66,72,66,79,62
50,59,66,70,88,98,7,96
80,80,90,55,90,89,25,75
44,61,60,63,54,65,70,61
78,83,87,79,72,78,67,72
94,75,24,31,22,59,85,100
96,91,91,89,87,94,93,93
100,100,100,100,100,100,98,100
56,50,57,50,84,89,44,64
61,42,58,56,62,62,62,55
69,74,39,72,37,64,37,69
94,100,97,99,99,100,100,96
61,64,62,65,64,64,51,60
